1	0.00000
2	0.00000
3	0.00000
4	0.00001
5	0.00000
6	0.00000
7	0.06758
8	0.04448
9	0.00173
10	0.05115
11	0.00000
12	0.00001
13	0.00001
14	0.09735
15	0.03937
16	0.06070
17	0.00001
18	0.07618
19	0.09764
20	0.13585
21	0.17462
22	0.08744
23	0.00496
24	0.10261
25	0.20853
26	0.20852
27	0.04609
28	0.09208
29	0.04383
30	0.01801
31	0.17445
32	0.02934
33	0.17971
34	0.03097
35	0.13352
36	0.04935
37	0.17309
38	0.03434
39	0.06635
40	0.13085
41	0.11497
42	0.07996
43	0.04761
44	0.09879
45	0.13947
46	0.14865
47	0.04541
48	0.11889
49	0.07203
50	0.12572
51	0.16306
52	0.16751
53	0.03797
54	0.00788
55	0.08005
56	0.21611
57	0.19713
58	0.04443
59	0.06246
60	0.05534
61	0.04466
62	0.12732
63	0.00326
64	0.00000
65	0.00000
66	0.00049
67	0.06747
68	0.00465
69	0.05577
70	0.00002
71	0.01221
72	0.00000
