var x200 [*] :=
 1  1.38025e-06   19  1.57125e-07   37  6.11539e-08   55  5.32364e-08
 2  1.38877e-06   20  1.09742e-06   38  5.14231       56 15.9215
 3 30             21 14.457         39 14.9082        57 25.1378
 4  3.26701e-07   22  6.39902       40  8.28776       58 18.0748
 5  2.54548e-07   23  4.36719       41  0.701549      59  3.81744
 6  9.29762       24  9.78483       42 13.0706        60 17.9453
 7 16.5897        25  4.81749       43  5.00234       61  1.71817
 8  1.34418e-07   26  5.69508       44 14.4088        62 28.835
 9  1.91817e-08   27  2.16376       45  2.76496       63  7.34988e-08
10  3.98526e-08   28  7.81596e-08   46  5.20955e-08   64  5.53496e-08
11  7.75377e-11   29  3.13969       47 18.2008        65  3.67886e-07
12 12.7047        30 16.7969        48 16.7604        66  1.10841e-07
13 15.8318        31  8.19467       49  9.05812       67 13.3906
14  7.70898       32  3.14068       50  1.97418e-07   68  4.01421e-08
15  9.80351       33 12.6089        51 12.1286        69  1.35134e-08
16  7.84258       34  5.07641       52  1.79985       70  1.83103e-08
17  7.44481e-08   35  9.61184       53 22.4057        71  8.64668e-08
18  3.1493e-08    36  0.656752      54  6.83528
;

